potega_10,x,f_float,g_float,f_double,g_double,f_long_double,g_long_double
10,1.000000000000000000000e+10,1.000000000000000000000e+10,1.000000000000000000000e+10,9.999999999000000000000e+09,9.999999999000000000000e+09,9.999999999000000000000e+09,9.999999999000000000000e+09
30,1.000000000000000000025e+30,inf,nan,1.000000000000000019885e+30,1.000000000000000160622e+30,1.000000000000000000025e+30,1.000000000000000000093e+30
50,1.000000000000000000036e+50,inf,nan,1.000000000000000076298e+50,1.000000000000000076298e+50,1.000000000000000000036e+50,1.000000000000000000036e+50
70,9.999999999999999999474e+69,inf,nan,1.000000000000000072531e+70,9.999999999999999192819e+69,9.999999999999999999474e+69,9.999999999999999999474e+69
90,9.999999999999999999990e+89,inf,nan,9.999999999999999664841e+89,9.999999999999999664841e+89,9.999999999999999999990e+89,1.000000000000000000054e+90
110,1.000000000000000000021e+110,inf,nan,1.000000000000000023569e+110,1.000000000000000023569e+110,1.000000000000000000021e+110,1.000000000000000000021e+110
130,9.999999999999999999009e+129,inf,nan,1.000000000000000059783e+130,1.000000000000000059783e+130,9.999999999999999999009e+129,9.999999999999999999009e+129
150,9.999999999999999999116e+149,inf,nan,9.999999999999999808356e+149,9.999999999999999808356e+149,9.999999999999999999116e+149,9.999999999999999999116e+149
170,9.999999999999999999175e+169,inf,nan,inf,nan,9.999999999999999999175e+169,9.999999999999999999175e+169
190,9.999999999999999999059e+189,inf,nan,inf,nan,9.999999999999999999059e+189,9.999999999999999999059e+189
210,9.999999999999999999703e+209,inf,nan,inf,nan,9.999999999999999999703e+209,1.000000000000000000042e+210
230,9.999999999999999999395e+229,inf,nan,inf,nan,9.999999999999999999395e+229,9.999999999999999999395e+229
250,9.999999999999999998871e+249,inf,nan,inf,nan,9.999999999999999998871e+249,9.999999999999999998871e+249
270,9.999999999999999998433e+269,inf,nan,inf,nan,9.999999999999999998433e+269,9.999999999999999998433e+269
290,9.999999999999999998540e+289,inf,nan,inf,nan,9.999999999999999998540e+289,9.999999999999999998540e+289
310,9.999999999999999998772e+309,inf,nan,inf,nan,9.999999999999999998772e+309,9.999999999999999998148e+309
