k,x,f_float,g_float,f_double,g_double,f_long_double,g_long_double
1,1.250000000000000000000e-01,7.782220840454101562500e-03,7.782218512147665023804e-03,7.782218537318641438105e-03,7.782218537318706490236e-03,7.782218537318706598656e-03,7.782218537318706546140e-03
2,1.562500000000000000000e-02,1.220703125000000000000e-04,1.220628619194030761719e-04,1.220628628286757333399e-04,1.220628628287590136193e-04,1.220628628287590000667e-04,1.220628628287590237836e-04
3,1.953125000000000000000e-03,1.907348632812500000000e-06,1.907346813823096454144e-06,1.907346813823096454144e-06,1.907346813826565901095e-06,1.907346813826565901095e-06,1.907346813826565892824e-06
4,2.441406250000000000000e-04,0.000000000000000000000e+00,2.980232238769531250000e-08,2.980232194360610264994e-08,2.980232194360611588483e-08,2.980232194360610264994e-08,2.980232194360611588483e-08
5,3.051757812500000000000e-05,0.000000000000000000000e+00,4.656612873077392578125e-10,4.656612873077392578125e-10,4.656612871993190405639e-10,4.656612871993190405639e-10,4.656612871993190405892e-10
6,3.814697265625000000000e-06,0.000000000000000000000e+00,7.275957614183425903320e-12,7.275957614183425903320e-12,7.275957614156956123719e-12,7.275957614183425903320e-12,7.275957614156956123719e-12
7,4.768371582031250000000e-07,0.000000000000000000000e+00,1.136868377216160297394e-13,1.136868377216160297394e-13,1.136868377216095673908e-13,1.136868377216160297394e-13,1.136868377216095673908e-13
8,5.960464477539062500000e-08,0.000000000000000000000e+00,1.776356839400250464678e-15,1.776356839400250464678e-15,1.776356839400248886956e-15,1.776356839400250464678e-15,1.776356839400248886956e-15
9,7.450580596923828125000e-09,0.000000000000000000000e+00,2.775557561562891351059e-17,0.000000000000000000000e+00,2.775557561562891351059e-17,2.775557561562891351059e-17,2.775557561562891312540e-17
10,9.313225746154785156250e-10,0.000000000000000000000e+00,4.336808689942017736030e-19,0.000000000000000000000e+00,4.336808689942017736030e-19,4.336808689942017736030e-19,4.336808689942017735089e-19
11,1.164153218269348144531e-10,0.000000000000000000000e+00,6.776263578034402712547e-21,0.000000000000000000000e+00,6.776263578034402712547e-21,0.000000000000000000000e+00,6.776263578034402712547e-21
12,1.455191522836685180664e-11,0.000000000000000000000e+00,1.058791184067875423835e-22,0.000000000000000000000e+00,1.058791184067875423835e-22,0.000000000000000000000e+00,1.058791184067875423835e-22
13,1.818989403545856475830e-12,0.000000000000000000000e+00,1.654361225106055349743e-24,0.000000000000000000000e+00,1.654361225106055349743e-24,0.000000000000000000000e+00,1.654361225106055349743e-24
14,2.273736754432320594788e-13,0.000000000000000000000e+00,2.584939414228211483973e-26,0.000000000000000000000e+00,2.584939414228211483973e-26,0.000000000000000000000e+00,2.584939414228211483973e-26
15,2.842170943040400743484e-14,0.000000000000000000000e+00,4.038967834731580443708e-28,0.000000000000000000000e+00,4.038967834731580443708e-28,0.000000000000000000000e+00,4.038967834731580443708e-28
16,3.552713678800500929356e-15,0.000000000000000000000e+00,6.310887241768094443294e-30,0.000000000000000000000e+00,6.310887241768094443294e-30,0.000000000000000000000e+00,6.310887241768094443294e-30
17,4.440892098500626161695e-16,0.000000000000000000000e+00,9.860761315262647567647e-32,0.000000000000000000000e+00,9.860761315262647567647e-32,0.000000000000000000000e+00,9.860761315262647567647e-32
18,5.551115123125782702118e-17,0.000000000000000000000e+00,1.540743955509788682445e-33,0.000000000000000000000e+00,1.540743955509788682445e-33,0.000000000000000000000e+00,1.540743955509788682445e-33
19,6.938893903907228377648e-18,0.000000000000000000000e+00,2.407412430484044816320e-35,0.000000000000000000000e+00,2.407412430484044816320e-35,0.000000000000000000000e+00,2.407412430484044816320e-35
20,8.673617379884035472060e-19,0.000000000000000000000e+00,3.761581922631320025500e-37,0.000000000000000000000e+00,3.761581922631320025500e-37,0.000000000000000000000e+00,3.761581922631320025500e-37
